245   	26/09/2018	10	15	18	36	40	3
246   	29/09/2018	7	10	15	17	31	4
247   	01/10/2018	1	2	6	7	40	4
248   	03/10/2018	11	20	24	31	32	8
249   	06/10/2018	1	8	39	48	49	9
250   	08/10/2018	1	4	23	24	46	2
251   	10/10/2018	4	5	24	29	38	3
252   	13/10/2018	1	4	22	36	45	8
253   	15/10/2018	8	14	19	25	49	5
254   	17/10/2018	2	7	13	33	41	1
255   	20/10/2018	7	12	17	31	48	8
256   	22/10/2018	4	10	19	29	47	6
257   	24/10/2018	9	28	34	36	45	6
258   	27/10/2018	21	26	29	35	36	9
259   	29/10/2018	9	22	24	42	43	7
260   	31/10/2018	2	14	28	34	38	4
261   	03/11/2018	6	8	9	29	39	2
262   	05/11/2018	9	11	29	32	39	8
263   	07/11/2018	3	6	20	27	33	8
264   	10/11/2018	18	20	30	43	44	7
265   	12/11/2018	13	14	15	21	37	7
266   	14/11/2018	15	36	41	48	49	5
267   	17/11/2018	12	20	22	27	42	7
268   	19/11/2018	20	21	28	33	46	7
269   	21/11/2018	20	21	22	23	45	10
270   	24/11/2018	5	10	11	15	22	5
271   	26/11/2018	14	21	30	34	36	2
272   	28/11/2018	3	10	15	30	38	6
273   	01/12/2018	3	6	15	23	39	2
274   	03/12/2018	1	9	15	19	39	5
275   	05/12/2018	6	17	18	19	41	9
276   	08/12/2018	11	14	25	29	38	8
277   	10/12/2018	8	13	16	34	37	10
278   	12/12/2018	12	21	39	44	45	5
279   	15/12/2018	1	3	30	32	38	6
280   	17/12/2018	2	9	25	30	35	9
281   	19/12/2018	3	10	11	21	25	3
282   	22/12/2018	11	22	31	44	46	5
283   	24/12/2018	10	22	34	43	46	2
284   	26/12/2018	5	9	11	24	45	10
285   	29/12/2018	12	26	30	38	42	5
286   	31/12/2018	14	24	27	34	43	10
287   	02/01/2019	2	12	26	29	36	7
288   	05/01/2019	6	7	18	40	48	7
289   	07/01/2019	1	7	12	19	31	10
290   	09/01/2019	6	15	19	21	46	10
291   	12/01/2019	11	19	24	25	34	8
292   	14/01/2019	1	11	33	35	44	10
293   	16/01/2019	1	10	11	15	31	3
294   	19/01/2019	10	16	34	37	39	7
295   	21/01/2019	17	20	26	30	47	6
296   	23/01/2019	17	24	25	38	41	10
297   	26/01/2019	12	14	16	30	42	2
298   	28/01/2019	6	15	30	37	47	6
299   	30/01/2019	11	15	20	30	47	9
300   	02/02/2019	5	7	27	32	35	3
301   	04/02/2019	12	24	37	40	42	1
302   	06/02/2019	4	15	21	22	26	10
303   	09/02/2019	3	40	42	45	47	9
304   	11/02/2019	13	15	25	43	48	5
305   	13/02/2019	7	14	29	41	43	3
306   	16/02/2019	7	8	11	25	46	7
307   	18/02/2019	7	9	11	18	33	9
308   	20/02/2019	8	15	25	29	34	1
309   	23/02/2019	3	4	13	44	45	5
310   	25/02/2019	7	37	38	44	48	7
311   	27/02/2019	1	4	14	19	34	2
312   	02/03/2019	16	25	38	42	46	9
313   	04/03/2019	4	11	15	33	36	2
314   	06/03/2019	14	15	23	44	46	5
315   	09/03/2019	15	32	35	43	47	10
316   	11/03/2019	5	6	16	24	25	1
317   	13/03/2019	5	8	20	29	32	3
318   	16/03/2019	1	19	22	31	33	1
319   	18/03/2019	23	24	38	44	45	6
320   	20/03/2019	2	3	13	21	40	8
321   	23/03/2019	1	12	26	28	40	6
322   	25/03/2019	22	23	24	46	47	2
323   	27/03/2019	10	19	25	45	49	1
